parameter,Estimate,Naive SE,Robust SE,95%L,95%H,t value,pvalue,feature,fold_change,qvalue,neg_log10_pvalue,neg_log10_qvalue
adenoma,-0.1793378360392124,0.1551682977541372,0.0801684591402252,-0.3370692408224718,-0.021606431255953,-2.2370123857005506,0.0259826288751693,Bin 482,-1.0,0.6540225355819586,1.585316909913498,0.1844072869811257
adenoma,-0.932882855154681,0.7867810650871613,0.417175748336924,-1.753675939272645,-0.1120897710367166,-2.236186688400822,0.0260372376604393,Bin 2093,-0.8549898568537981,0.6540225355819586,1.5844050927791018,0.1844072869811257
adenoma,47.7343021411928,19.243661906775724,21.382880335452818,5.663495370116969,89.80510891226862,2.232360719993804,0.0262915772159296,Bin 54,0.2170455072708131,0.6540225355819586,1.5801833600469681,0.1844072869811257
adenoma,-3.711419013825528,2.335567340126228,1.6770594704462178,-7.011032714967791,-0.4118053126832643,-2.213051522161003,0.0276083741003175,Bin 50,-0.26612760856971207,0.6540225355819586,1.5589591688787396,0.1844072869811257
adenoma,38.87709252169402,13.847063735016578,17.649307085742702,4.15208932291722,73.60209572047083,2.2027546085987337,0.0283336635742994,Bin 1858,0.41302333932588015,0.6540225355819586,1.5476972670879543,0.1844072869811257
adenoma,-0.272206372378744,0.231979073056207,0.1249573675808758,-0.5180599329676382,-0.0263528117898499,-2.178393940657918,0.0301155471785421,Bin 548,-0.8807926888993465,0.6540225355819586,1.521209241593099,0.1844072869811257
adenoma,-57.955409663731366,48.23525865521239,26.771572644151064,-110.6284659592619,-5.28235336820083,-2.164811549701516,0.0311504474811658,Bin 1972,-0.5249696578411523,0.6540225355819586,1.5065357102502304,0.1844072869811257
adenoma,-0.709676052793982,0.6347817484275871,0.3279630916774739,-1.3549432778614623,-0.0644088277265015,-2.163889994950691,0.0312217624263553,Bin 298,-0.9999999999999999,0.6540225355819586,1.505542585244222,0.1844072869811257
adenoma,-0.2237582777147689,0.2003288403455152,0.1035008741108647,-0.4273961977257648,-0.0201203577037731,-2.161897468373945,0.0313764363589152,Bin 491,-1.0,0.6540225355819586,1.5033963838066065,0.1844072869811257
adenoma,-0.3898768762663546,0.352330541037055,0.1820332954076602,-0.7480272973908837,-0.0317264551418255,-2.1417888161241745,0.032974733313538,Bin 1937,-0.9999999999999997,0.6540225355819586,1.4818187081675622,0.1844072869811257
adenoma,-0.5317911897679424,0.4814643328107145,0.2487508998363198,-1.021208465502953,-0.0423739140329317,-2.137846295703314,0.0332961765313314,Bin 1203,-0.9999999999999993,0.6540225355819586,1.4776056345621735,0.1844072869811257
adenoma,-0.191812308583898,0.1747019857093311,0.0902606344579901,-0.3694000634487479,-0.0142245537190483,-2.1250937325637014,0.0343544389679771,Bin 541,-0.999999999999999,0.6540225355819586,1.4640171393978862,0.1844072869811257
adenoma,-0.6106393697510207,0.4661307055445262,0.2883685517499953,-1.178004356563127,-0.0432743829389145,-2.117565754120172,0.0349925981669301,Bin 322,-0.6345898839637522,0.6540225355819586,1.4560238103702061,0.1844072869811257
adenoma,-0.8827919547259493,0.7817138279907584,0.4193200410272675,-1.7078039336803823,-0.0577799757715161,-2.105293972029692,0.0360546960840888,Bin 1771,-0.8428799027678305,0.6540225355819586,1.4430381608868454,0.1844072869811257
